Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/20/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,57573,0.97,3711,0,474,4185,
05/20/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,58207,0.98,3713,0,507,4221,
05/20/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,57536,0.98,3745,0,539,4284,
05/20/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,2,57585,0.99,3607,0,552,4161,
05/20/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,6,57893,1.01,3722,4,630,4354,
05/20/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,32,57514,0.99,3806,16,609,4430,
05/20/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,51,56198,0.98,3805,26,599,4428,
05/20/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,521,56421,0.99,4333,239,523,5132,
05/20/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,2918,59773,1.07,5869,1321,424,7841,
05/20/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,8974,67819,1.21,9299,4304,447,14194,
05/20/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,14536,73383,1.32,11156,6491,456,19324,
05/20/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,14693,69502,1.28,10203,6325,250,18640,
05/20/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,11731,63149,1.17,8459,5086,135,15149,
05/20/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,8771,54933,1.02,6511,3726,49,11588,
05/20/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,5555,42321,0.8,4268,2309,24,7534,
05/20/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,1207,17262,0.33,1237,470,5,1979,
05/20/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1019,0.93,55,0,14,69,
05/20/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1106,1,61,0,10,71,
05/20/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1079,0.99,75,0,,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1079,0.99,67,0,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1143,1.1,63,0,14,77,
05/20/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1034,0.99,57,0,13,70,
05/20/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1056,0.98,58,0,,64,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1034,1.01,72,,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,20,1029,1.01,67,,,88,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,49,1109,1.08,64,11,,104,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,77,1079,1.05,82,25,,137,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,81,1047,1.06,88,24,0,145,
05/20/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,60,965,0.96,66,16,,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,49,904,0.91,66,13,,103,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/09/2020,05/09/2020,By week,Alabama,Week-ending,31,646,0.64,47,,0,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/16/2020,05/16/2020,By week,Alabama,Week-ending,10,202,0.2,,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/01/2020,02/01/2020,By week,Alaska,Week-ending,0,83,0.93,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/08/2020,02/08/2020,By week,Alaska,Week-ending,0,92,1.23,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/15/2020,02/15/2020,By week,Alaska,Week-ending,0,88,1.01,0,0,0,0,
05/20/2020,02/22/2020,02/22/2020,By week,Alaska,Week-ending,0,83,1.02,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/29/2020,02/29/2020,By week,Alaska,Week-ending,0,78,0.93,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/07/2020,03/07/2020,By week,Alaska,Week-ending,0,78,0.91,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/14/2020,03/14/2020,By week,Alaska,Week-ending,0,87,1.03,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/21/2020,03/21/2020,By week,Alaska,Week-ending,0,64,0.8,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/28/2020,03/28/2020,By week,Alaska,Week-ending,,79,0.92,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/04/2020,04/04/2020,By week,Alaska,Week-ending,,92,1.06,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/11/2020,04/11/2020,By week,Alaska,Week-ending,,76,0.88,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/18/2020,04/18/2020,By week,Alaska,Week-ending,,66,0.85,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/25/2020,04/25/2020,By week,Alaska,Week-ending,0,48,0.61,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/02/2020,05/02/2020,By week,Alaska,Week-ending,0,56,0.63,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/09/2020,05/09/2020,By week,Alaska,Week-ending,,42,0.54,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/16/2020,05/16/2020,By week,Alaska,Week-ending,0,13,0.17,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/01/2020,02/01/2020,By week,Arizona,Week-ending,0,1262,0.99,74,0,13,87,
05/20/2020,02/08/2020,02/08/2020,By week,Arizona,Week-ending,0,1258,1.01,79,0,10,89,
05/20/2020,02/15/2020,02/15/2020,By week,Arizona,Week-ending,0,1308,1.1,91,0,13,104,
05/20/2020,02/22/2020,02/22/2020,By week,Arizona,Week-ending,0,1335,1.11,78,0,11,89,
05/20/2020,02/29/2020,02/29/2020,By week,Arizona,Week-ending,0,1346,1.09,80,0,15,95,
05/20/2020,03/07/2020,03/07/2020,By week,Arizona,Week-ending,0,1377,1.12,74,0,14,88,
05/20/2020,03/14/2020,03/14/2020,By week,Arizona,Week-ending,0,1341,1.09,82,0,11,93,
05/20/2020,03/21/2020,03/21/2020,By week,Arizona,Week-ending,,1277,1.06,100,,,108,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/28/2020,03/28/2020,By week,Arizona,Week-ending,28,1313,1.11,114,16,,131,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/04/2020,04/04/2020,By week,Arizona,Week-ending,54,1341,1.1,121,29,,150,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/11/2020,04/11/2020,By week,Arizona,Week-ending,84,1383,1.14,145,49,,184,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/18/2020,04/18/2020,By week,Arizona,Week-ending,88,1291,1.12,111,38,,162,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/25/2020,04/25/2020,By week,Arizona,Week-ending,97,1330,1.14,112,40,,170,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/02/2020,05/02/2020,By week,Arizona,Week-ending,88,1303,1.12,112,39,0,161,
05/20/2020,05/09/2020,05/09/2020,By week,Arizona,Week-ending,61,1096,0.95,88,34,0,115,
05/20/2020,05/16/2020,05/16/2020,By week,Arizona,Week-ending,10,436,0.4,22,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/01/2020,02/01/2020,By week,Arkansas,Week-ending,0,678,1.04,55,0,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/08/2020,02/08/2020,By week,Arkansas,Week-ending,0,669,1.02,49,0,,58,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/15/2020,02/15/2020,By week,Arkansas,Week-ending,0,686,1.02,38,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/22/2020,02/22/2020,By week,Arkansas,Week-ending,0,691,1.01,49,0,12,61,
05/20/2020,02/29/2020,02/29/2020,By week,Arkansas,Week-ending,0,653,1.02,32,0,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/07/2020,03/07/2020,By week,Arkansas,Week-ending,0,693,1.05,42,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/14/2020,03/14/2020,By week,Arkansas,Week-ending,0,623,0.97,37,0,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/21/2020,03/21/2020,By week,Arkansas,Week-ending,0,631,1,53,0,11,64,
05/20/2020,03/28/2020,03/28/2020,By week,Arkansas,Week-ending,,626,0.99,40,0,,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
