Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,5/5/2020 2:32:38 AM,32.3182,-86.9023,8112,298,0,7814,1,173.0044401,103117,1064,3.67357002,84000001,USA,2199.173921,13.11637081
Alaska,US,5/5/2020 2:32:38 AM,61.3707,-152.4044,370,9,263,98,2,61.89889067,21723,null,2.432432432,84000002,USA,3634.13406,null
American Samoa,US,5/5/2020 2:32:38 AM,-14.271,-170.132,0,0,0,0,60,0,83,null,null,16,ASM,149.1705757,null
Arizona,US,5/5/2020 2:32:38 AM,33.7298,-111.4312,8924,362,1632,6930,4,122.6040249,85253,1357,4.056476916,84000004,USA,1171.264112,15.20618557
Arkansas,US,5/5/2020 2:32:38 AM,34.9697,-92.3731,3491,80,2016,1395,5,134.8383003,54442,438,2.291606989,84000005,USA,2102.797692,12.54654827
California,US,5/5/2020 2:32:38 AM,36.1162,-119.6816,55884,2278,0,53606,6,142.5298825,747874,null,4.076300909,84000006,USA,1907.422398,null
Colorado,US,5/5/2020 2:32:38 AM,39.0598,-105.3111,16918,851,2650,13417,8,298.5452317,83090,2799,5.030145407,84000008,USA,1466.256254,16.54450881
Connecticut,US,5/5/2020 2:32:38 AM,41.5978,-72.7554,29973,2556,4346,23071,9,840.6896836,102493,7758,8.527674907,84000009,USA,2874.747531,25.88329497
Delaware,US,5/5/2020 2:32:38 AM,39.3185,-75.5071,5288,182,1716,3390,10,543.0473914,24110,null,3.441754917,84000010,USA,2475.959267,null
Diamond Princess,US,5/5/2020 2:32:38 AM,null,null,49,0,0,49,88888,null,null,null,0,84088888,USA,null,null
District of Columbia,US,5/5/2020 2:32:38 AM,38.8974,-77.0268,5170,258,666,4246,11,732.5550585,23795,null,4.99032882,84000011,USA,3371.595284,null
Florida,US,5/5/2020 2:32:38 AM,27.7663,-81.6868,36897,1399,0,35498,12,173.7751833,444270,6329,3.791636176,84000012,USA,2092.395064,17.15315608
Georgia,US,5/5/2020 2:32:38 AM,33.0406,-83.6431,29451,1246,0,28205,13,290.4611745,183325,5526,4.230756171,84000013,USA,1808.047089,18.76336966
Grand Princess,US,5/5/2020 2:32:38 AM,null,null,103,3,0,100,99999,null,null,null,2.912621359,84099999,USA,null,null
Guam,US,5/5/2020 2:32:38 AM,13.4443,144.7937,145,5,125,15,66,88.29134927,3391,null,3.448275862,316,GUM,2064.799761,null
Hawaii,US,5/5/2020 2:32:38 AM,21.0943,-157.4983,621,17,544,60,15,43.86256115,33866,73,2.737520129,84000015,USA,2392.028174,11.75523349
Idaho,US,5/5/2020 2:32:38 AM,44.2405,-114.4788,2106,64,1267,775,16,130.7670862,29807,200,3.038936372,84000016,USA,1850.795127,9.496676163
Illinois,US,5/5/2020 2:32:38 AM,40.3495,-88.9861,63777,2659,0,61118,17,543.4465385,333147,null,4.169214607,84000017,USA,2838.759803,null
Indiana,US,5/5/2020 2:32:38 AM,39.8494,-86.2583,20507,1151,0,19356,18,313.3713142,113297,null,5.612717609,84000018,USA,1731.312712,null
Iowa,US,5/5/2020 2:32:38 AM,42.0115,-93.2105,9703,188,3486,6029,19,370.2427545,57161,null,1.937545089,84000019,USA,2181.123992,null
Kansas,US,5/5/2020 2:32:38 AM,38.5266,-96.7265,5383,156,291,4936,20,220.7515477,38603,553,2.898012261,84000020,USA,1583.071149,10.27308192
Kentucky,US,5/5/2020 2:32:38 AM,37.6681,-84.6701,5245,261,1892,3092,21,153.2146001,58409,1519,4.976167779,84000021,USA,1706.21765,28.96091516
